t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
0,0.2,0,253.95713404366,0,0.0837308329862959,0.188954669130988,0,-0.339303223480343,252.188746849385,-0.0627559740841142,1,1,0.000357586652355834,-0.000304292865622661,-0.000289489698174079,0.000277645368446296,0.00158940561331165,0.00105784575492744,-0.1939665271302
1,0.2,100,131.879630723179,100,99.9531536741012,22.627214660776,0,-0.134123169267871,130.52964001558,0.0566204163551706,1,1,0.00631997872446234,0.00753583970652375,0.00196878112838532,0.00225246443495942,0.000389147660092252,0.00230453999385252,1.65635250600192
2,0.2,100,90.3491945935223,100,100.061567126934,26.8990058939154,0,-0.000103770619007287,89.5484162269,0.0517571021172883,1,1,0.0208064114818095,0.0222310087165791,0.00722394837480556,0.00665564321310852,0.00551944436635168,0.00354556888997995,3.11651853885896
3,0.2,100,87.0048619158244,100,99.9144921394313,27.166510532687,0,0.193879326458645,85.8523671478198,-0.138761428133539,1,1,0.038350365132736,0.0345772186394814,0.0130380354059848,0.0137640767889479,0.00904892458632214,0.00992325637863421,4.32552845683735
4,0.2,100,86.6552849179719,100,100.07020680182,27.3159423243245,0,0.00478237974543907,85.3510575609626,0.0295403245029722,1,1,0.0476116086844609,0.046876957748754,0.0197226279335358,0.0206999360433907,0.014639773712325,0.0153823691120795,5.17231111690317
5,0.2,100,86.1229860251438,100,99.9419951898108,27.132860233505,0,0.253763118375642,85.6103711680319,-0.213731798689995,1,1,0.0586248999161329,0.0570193205717463,0.0272304709171527,0.0275065438865081,0.0232652817642959,0.0227806150195518,6.22657876577943
6,0.2,100,86.4336546517123,100,99.953600001072,27.2282463386609,0,-0.110606338496714,85.3509879055662,0.140040903706239,1,1,0.0659235051284595,0.0668271408074984,0.034100022294354,0.0336069612390207,0.024620636803519,0.0259311933571227,6.79436793858318
7,0.2,100,86.4428248907881,100,100.08533045973,27.1155739256014,0,-0.136433861909671,86.1069191307042,0.0665437573413366,1,1,0.0780456589097027,0.0788879031124411,0.0410845232773983,0.041164614775189,0.0325915212601682,0.0313412898190967,7.41543888671401
8,0.2,100,86.3150899920243,100,99.9281485294707,27.207987766206,0,-0.390821740389908,85.2119351080683,0.1076619645638,1,1,0.0868892745731236,0.0855600015175772,0.0479278914911456,0.0479744885055163,0.035968617433649,0.036254745585279,8.24464170726015
9,0.2,100,86.3090820328205,100,100.059764941264,27.256169897608,0,0.00649285536308283,85.4535796015976,0.174972622587613,1,1,0.0937845904259234,0.0958854168586809,0.0539710811020023,0.0542421522774049,0.0415280828398906,0.0418567142770292,8.94377649473581
