t	SP	CV	PV	e	P	G	dP	F1	L1	L2	L3	F2	dist
0.0	0.2	100.0	0.014976482191299191	0.18502351780870083	253.612569027844	99.6894078538544	252.6701495090254	46.854510333480015	0.020261434666616295	0.018289265269889374	0.014976482191299191	6.996517455555207	7.0
1.0	0.2	100.0	0.01923094955604534	0.18355025572139516	82.897077965087	99.73120260966114	81.68661274209276	27.618605558059333	0.03811917260049655	0.02270168161089221	0.01923094955604534	7.49786686295614	7.0
2.0	0.2	100.0	0.02270712936590603	0.18142208036754018	86.4110649777959	100.01063801933918	85.53568085210749	27.230567923970973	0.05232087952020816	0.0285608215650394	0.02270712936590603	7.876937341826569	7.0
3.0	0.2	100.0	0.02865899498503287	0.1785375819359592	86.82280225453476	99.99261506984882	85.47652750986268	27.0886820056929	0.06381923144556186	0.035038487790831366	0.02865899498503287	8.705444574660392	7.0
4.0	0.2	100.0	0.033439984777189014	0.17501667772107476	86.44625733332009	99.84454024049442	85.78938687279717	27.228590883445417	0.07589272751923024	0.04132239418462016	0.033439984777189014	9.43031989790751	7.0
5.0	0.2	100.0	0.0358629402117399	0.1713319679270598	87.02121290907334	100.02149115981877	85.7916857352577	27.075269344529453	0.08389938738998139	0.047150670779926206	0.0358629402117399	10.028069112651297	7.0
6.0	0.2	100.0	0.04311449491331816	0.16708504017221415	86.64881480078783	99.97655271231037	85.96572730590961	27.11827006300652	0.09481723312364021	0.05375785689558992	0.04311449491331816	10.645182228902945	7.0
7.0	0.2	100.0	0.04988359327879904	0.1622254076426105	86.10237495675558	100.09288634455167	85.8436392857054	27.290850230011802	0.10050317364626313	0.05952200404840218	0.04988359327879904	11.265438214098635	7.0
8.0	0.2	100.0	0.04942015724270576	0.15727733940677882	86.79884582688904	100.0221637139662	85.85971664427068	27.09295037342168	0.11308243834543294	0.06715147156191427	0.04942015724270576	11.816894584025885	7.0
9.0	0.2	100.0	0.05946310626394821	0.1525605052091357	86.90205271502374	100.22308299048625	85.497678247095	27.07830932154071	0.11809892274014894	0.0730617148818973	0.05946310626394821	12.363985217440252	7.0
10.0	0.2	100.0	0.06294465804810152	0.14758277220715627	86.99494183531446	99.67555985966901	85.39214039807328	27.090272897482645	0.12647222365304844	0.07849666450733982	0.06294465804810152	12.72913339280562	7.0
11.0	0.2	100.0	0.06744259912535099	0.14286500329879476	87.27945583866757	99.87299489139131	85.218375694204	27.25808220049767	0.13507827581025836	0.08532998424785597	0.06744259912535099	13.284471098027126	7.0
12.0	0.2	100.0	0.07035447560424869	0.13800850056579256	86.72283395273729	99.88819407336028	85.50116110278773	27.29275487009898	0.13759019857165677	0.09097338739234259	0.07035447560424869	13.6658134389829	7.0
13.0	0.2	100.0	0.07715021337708534	0.13380598653880132	86.31481162067823	99.95739919635952	85.46484272670656	27.314794507460167	0.14989929740649716	0.09650364699218042	0.07715021337708534	14.179216217849847	7.0
14.0	0.2	100.0	0.07863933796781183	0.12889784548875877	86.8525946225473	99.90958132295066	85.54744299443583	27.199495343737173	0.15622025092301783	0.10216570593063597	0.07863933796781183	14.576879583882574	7.0
15.0	0.2	100.0	0.08745200594835581	0.12432325419398382	86.71444968277359	99.79312442590903	85.13314113578114	27.222358919839508	0.16028505405867588	0.10780997781328398	0.08745200594835581	14.824149699093281	7.0
16.0	0.2	100.0	0.09013311158945822	0.11965153749755916	86.77008175644795	100.08998309935265	85.88243617617594	27.093680219864975	0.1696877737535278	0.11369980234351973	0.09013311158945822	15.144976369777549	7.0
17.0	0.2	100.0	0.09440056467326419	0.11504809350587641	86.69599510694525	99.91404291722682	85.17224661920554	27.243715665777597	0.17256779282906431	0.11914091285594022	0.09440056467326419	15.575718070510952	7.0
18.0	0.2	100.0	0.09830724722694582	0.11068518186696862	86.69879378858931	99.86631947156252	85.46324333574641	27.141304691200578	0.17976866717726425	0.1243832502524655	0.09830724722694582	15.83510588728103	7.0
19.0	0.2	100.0	0.10175796050814985	0.10660528854165945	87.413121614834	100.02688755439905	85.46889578702194	27.223636873358302	0.18610614121607005	0.12945210648785926	0.10175796050814985	16.30300972067631	7.0
20.0	0.2	100.0	0.10781787960433876	0.10196525524847953	87.30065191608062	100.29205420878772	85.75728744535611	27.334000367637707	0.19231422952225039	0.13444317776851727	0.10781787960433876	16.455667560639217	7.0
21.0	0.2	100.0	0.11162537480652175	0.09764365064858753	86.7356803400492	100.0826437721818	85.67416010729255	27.21731673219736	0.19790724708260232	0.13971476656598666	0.11162537480652175	16.88515848955219	7.0
22.0	0.2	100.0	0.11584762576513587	0.09339497279259797	87.06242552413467	100.12095155953561	85.26160923425894	27.13552659941668	0.20472950599497258	0.14475279779063766	0.11584762576513587	17.07339438366161	7.0
23.0	0.2	100.0	0.11795162375558721	0.08892770160676064	86.24062304710574	100.03316189559254	85.3688408198567	27.225997319323138	0.21040867348219996	0.1499071534036268	0.11795162375558721	17.389661661705258	7.0
24.0	0.2	100.0	0.12298099477900884	0.08450292438973235	86.16432554063202	99.9965025974177	85.59988688607105	27.178824320761183	0.21579280401865053	0.1544989786807475	0.12298099477900884	17.592486138443665	7.0
25.0	0.2	100.0	0.12988543181021206	0.08074642522447278	86.65429992797243	100.11106749517913	85.95385525783016	27.169554751319	0.22039869381408397	0.15880665354581436	0.12988543181021206	17.732626159096835	7.0
26.0	0.2	100.0	0.13094360509758338	0.07652119647489718	86.54709756058307	100.12536657075937	85.26652704198423	27.281698056202544	0.22480678100392593	0.16365140028628358	0.13094360509758338	18.10211047186763	7.0
27.0	0.2	100.0	0.1366070518359315	0.07263527789192548	86.85171709137518	99.78725631063466	85.570326556321	27.105249337228454	0.2341419791696414	0.1683621443661063	0.1366070518359315	18.478327615898703	7.0
28.0	0.2	100.0	0.13946058015980728	0.06853485839265919	86.77017401220783	100.04350110932101	85.24054360927406	27.29804879411706	0.23653527814696554	0.17272436094257188	0.13946058015980728	18.443050273667765	7.0
29.0	0.2	99.6782729751202	0.13977506001088943	0.06473179886632019	86.8439027298171	99.62900381831942	86.36174918809661	27.09825627823245	0.24100781342815336	0.17747325026773908	0.13977506001088943	18.765574078761905	7.0
30.0	0.2	99.2087728643365	0.1484844874802838	0.06098152220728628	87.45864192137736	99.25041094963939	85.95044870901702	27.190486946529383	0.2454920859602198	0.1820196050571566	0.1484844874802838	19.03992829466706	7.0
31.0	0.2	99.01173804094664	0.15099347193144888	0.05720584141343438	89.50374578873917	98.95847033922314	87.82496991077953	26.96394037125154	0.2524847208029943	0.18643487389870067	0.15099347193144888	19.135629617140694	7.0
32.0	0.2	99.48900664973905	0.15272335563512834	0.05374844167411852	88.76536576756529	99.45963308591246	87.4862744993067	26.945134815323257	0.2561530826395786	0.19084347869656468	0.15272335563512834	19.388213606033055	7.0
33.0	0.2	98.16560392057809	0.15906693043968098	0.049562811256491396	88.72731086816536	98.69502531849805	87.01769207888793	27.01555859938317	0.2590096146926198	0.19494506712340454	0.15906693043968098	19.590967639417546	7.0
34.0	0.2	95.66069526607686	0.15938697877330754	0.04560752100419466	93.51457483583718	95.97806174818919	92.22617932664552	26.48217732277423	0.26226490518058576	0.19871806765183767	0.15938697877330754	19.765057327058148	7.0
35.0	0.2	96.95235752770918	0.1637048914896819	0.042262991007125966	94.21884216293265	96.49717566187286	94.07953422908388	26.338197645926027	0.2654821076870851	0.20320054469498727	0.1637048914896819	19.94753345111821	7.0
36.0	0.2	96.92294510011381	0.16942095246555616	0.03888316998701463	93.74780827561918	96.7420321286005	92.83401475705158	26.57936265495166	0.2724437132841123	0.20701014179697133	0.16942095246555616	20.125684219086533	7.0
37.0	0.2	95.88018638803874	0.17015968778057575	0.03516046963605701	94.27885796759058	95.99568055749886	93.27975774361819	26.392870455151225	0.27551753734795326	0.2109075448337447	0.17015968778057575	20.4177685783104	7.0
38.0	0.2	95.76175420070116	0.17575171990522842	0.032101563864121885	96.51091231538369	95.66461554003881	94.52406329091943	26.388905688242655	0.2820983321584965	0.21480937509359013	0.17575171990522842	20.663943929509692	7.0
39.0	0.2	93.94734326053066	0.17776293140224553	0.028401302503526016	97.12357292898766	94.50444954029157	96.04520165025528	26.17302727538701	0.2849318358313608	0.21856338143137735	0.17776293140224553	20.782269049217504	7.0
40.0	0.2	92.98978559538547	0.18146656096039382	0.025101922096726542	100.68719243152105	93.10341683567731	99.2071649117363	25.956716874015648	0.2877912611710516	0.22168965223180906	0.18146656096039382	20.81320820039763	7.0
41.0	0.2	91.49677915658316	0.1826084644855815	0.02168549948621673	102.76196111977103	91.68920518885822	101.97193613991179	25.538483700300713	0.292789878262844	0.22597197250176926	0.1826084644855815	20.99522099395068	7.0
42.0	0.2	90.33109679583838	0.1872467431016094	0.018751469018646827	106.65414440492071	90.39346565587635	105.46988531252408	25.262552147478235	0.29232424257873496	0.2290729666541389	0.1872467431016094	21.264152443467914	7.0
43.0	0.2	89.02873837542569	0.19216890006430912	0.01565263203492409	108.6328171746363	88.98702762711238	108.00420133000912	24.89626960334673	0.29827892003340384	0.23269950210228804	0.19216890006430912	21.452821351542827	7.0
44.0	0.2	86.28750504513123	0.19232541367487574	0.012348112477183176	113.6692346845889	86.56935958650713	111.92101342244624	24.448378845865623	0.30076917644205226	0.23595355346167501	0.19232541367487574	21.646657836115256	7.0
45.0	0.2	85.44283005325372	0.19777556722456915	0.00966663068696999	117.55430906206149	85.51089993485914	115.84303310043123	24.078644038336563	0.3025010349548711	0.23878685435621788	0.19777556722456915	21.688258722734933	7.0
46.0	0.2	83.23385870308292	0.19932150893639228	0.00667765509743759	120.45362072488618	83.54507125360213	120.12425949511389	23.637954344744756	0.3058240120327157	0.24161998115969635	0.19932150893639228	21.932617878909763	7.0
47.0	0.2	81.80421619660159	0.20117235091230934	0.0038892268026945453	123.93986976374907	82.08626821466179	123.48699838112202	23.195710048306772	0.30632549361372674	0.2451043871317627	0.20117235091230934	21.858902431933853	7.0
48.0	0.2	79.2640841886043	0.20540076754032008	0.001123744289885431	128.65412270529197	79.99871840770328	127.62585535843493	22.75415096415909	0.3063113535074424	0.24685387426772648	0.20540076754032008	22.189389920530374	7.0
49.0	0.2	76.72585889779268	0.20669454195484363	-0.001741717792515779	134.49833518173764	77.11681264336322	133.35826080691507	22.28685692840752	0.31045023961526663	0.24951573858594386	0.20669454195484363	22.29892072108004	7.0
50.0	0.2	74.33513082573893	0.211803421262848	-0.004149492263325727	140.57488359833545	74.99990354981732	139.41979090622544	21.461926571392087	0.3078664536414113	0.2512631266810493	0.211803421262848	22.304944706710952	7.0
51.0	0.2	71.52576252748008	0.21144664226308085	-0.006929194903813579	144.8717698350311	72.21327381746447	143.53876499855642	20.98643079753853	0.31207987743340043	0.2536719353472372	0.21144664226308085	22.4884570129719	7.0
52.0	0.2	69.79191448259434	0.2149404916401675	-0.008969404174285767	150.47066930139292	69.9799027687413	148.92557810317214	20.197235487215032	0.3076440540914377	0.25534071794063556	0.2149404916401675	22.510556620429764	7.0
53.0	0.2	66.8101841088029	0.2165382143670804	-0.011622663718710846	154.44098066998006	67.26974904926165	153.867114618627	19.663759658192753	0.31170791751289023	0.25710786857050655	0.2165382143670804	22.71551572339468	7.0
54.0	0.2	64.27604497035237	0.21377618604537504	-0.013824856851775397	160.34249195246124	64.56080361803939	159.39091037878006	18.86901711463048	0.3121358085125206	0.25901565507082785	0.21377618604537504	22.713271551736426	7.0
55.0	0.2	63.56835406635988	0.21902295379040557	-0.015231684025464959	164.26055392136183	63.7720396059447	162.99495302796066	18.51471287165663	0.30939950303061414	0.26063363714625887	0.21902295379040557	22.942520350519974	7.0
56.0	0.2	61.39230612655205	0.2209144108395588	-0.017205290996922973	166.26122002995095	61.69886128801979	166.12295487880417	18.15151244072184	0.3079049449482009	0.26096801874985004	0.2209144108395588	22.932817285123377	7.0
57.0	0.2	59.33744888564839	0.2221687416846544	-0.018656314334928592	170.98220679971888	59.49986251054814	170.283079124271	17.496113209623292	0.3084564336520696	0.2621631758091111	0.2221687416846544	22.82015965003182	7.0
58.0	0.2	56.628925947844145	0.2219567875016934	-0.020228035433871472	174.04185042230839	57.00761733962422	174.37069080832512	17.064811755892176	0.3082414144574804	0.2630589820281592	0.2219567875016934	22.982440980992457	7.0
59.0	0.2	55.27906254744297	0.2260124785720497	-0.021277928271238644	178.20456366303378	55.424721207462035	178.296120447347	16.50056940186539	0.3064587690243647	0.2639061280713627	0.2260124785720497	23.036417372023504	7.0
60.0	0.2	53.145898671427005	0.2242807758701567	-0.022624600355161756	181.23304382593028	53.521972083407206	180.6397655994103	15.87664117108432	0.30513231369986893	0.26405152400607435	0.2242807758701567	23.24919368737745	7.0
61.0	0.2	50.07674603100733	0.22495762799092264	-0.024137264213102	184.96090193767793	50.87268649430324	184.1427941037145	15.440252827238305	0.30420353953478424	0.26474570409051906	0.22495762799092264	23.190131146441495	7.0
62.0	0.2	47.31419641692272	0.22677447941167342	-0.025314920878153235	189.6711111015811	47.6313782000614	188.58632419285217	14.758865965910926	0.30117118207080423	0.2645505343386656	0.22677447941167342	23.27228761350395	7.0
63.0	0.2	45.76765227714324	0.2291634694581936	-0.026020647311498002	192.72476182053796	45.78247289473881	192.4923892423369	14.111536723663153	0.303141928726101	0.26394488631959384	0.2291634694581936	23.2821487062057	7.0
64.0	0.2	44.52957373191544	0.22715730820320373	-0.02674776767766418	196.04429859499115	45.06328437102698	195.0090805542182	14.057725908549326	0.30117586047034905	0.2637846326553713	0.22715730820320373	23.196919834208614	7.0
65.0	0.2	43.06505603352669	0.2291160816308208	-0.02720956432658192	198.36835767436878	43.14645345612155	197.00931335923767	13.539102174165354	0.29665224901831294	0.26297827756142134	0.2291160816308208	23.29099854468144	7.0
66.0	0.2	41.434375068461954	0.22898078652903026	-0.027543877924436605	199.84621392574704	41.531249833823885	199.13371980246527	13.055897383018339	0.2971026741680477	0.2630807228885724	0.22898078652903026	23.288228132179388	7.0
67.0	0.2	40.041378327647195	0.22834522243017247	-0.027830232262311322	201.82588268169184	40.46515173355692	201.0369472210425	12.893961627226531	0.2950095668125374	0.2620987254761547	0.22834522243017247	23.339634323065603	7.0
68.0	0.2	38.71975578212924	0.22836476897350472	-0.02819788241925064	203.11568072405638	38.862026936667675	202.7883873980131	12.659269463463339	0.29270434180365146	0.2601055074631426	0.22836476897350472	23.250203628888517	7.0
69.0	0.2	36.72113855725069	0.2252263767936819	-0.028059905026166287	205.69810671527017	36.53678666064684	204.89578394938033	12.101959510173382	0.2899246152911986	0.26022882668744407	0.2252263767936819	23.204588737148782	7.0
70.0	0.2	37.059406849898465	0.22806654734409448	-0.02754232417550967	206.67218821698285	37.28820088880502	205.75875149463303	11.982812640379096	0.2866691379012888	0.2588411444397866	0.22806654734409448	23.226922351433384	7.0
71.0	0.2	35.30965828829467	0.22762430537645437	-0.02773231984980387	207.50079603267403	35.46007791783942	206.7779220089702	11.968423286783954	0.286626075440286	0.25789403717194476	0.22762430537645437	23.013530590548484	7.0
72.0	0.2	34.47406435537294	0.22577986724668003	-0.027002884540546473	209.15100066218383	34.290574024348246	208.38050004775044	11.484311906617116	0.2832549175458322	0.25639754967342315	0.22577986724668003	23.13532026992749	7.0
73.0	0.2	34.41730726713897	0.2273690751599778	-0.026373290166872843	209.75314422034023	34.267921538934075	209.29810688051853	11.522250130491162	0.28337533896344563	0.25624633858106344	0.2273690751599778	23.13556920339383	7.0
74.0	0.2	33.09007795517915	0.2245407170756428	-0.02586473806296241	209.90668322890446	33.53796302956927	209.82669455629676	11.428548209410605	0.27884484662053105	0.254257403688792	0.2245407170756428	23.125369660870042	7.0
75.0	0.2	32.36055248679079	0.22384358418636985	-0.02526576454070137	211.4759972649892	32.74290923285637	211.25681311946204	11.285781559584391	0.27883062210899384	0.2531147874797029	0.22384358418636985	23.112582017033144	7.0
76.0	0.2	31.773972487587493	0.22404235309499784	-0.024402964299337082	212.3511635272165	31.561843924475642	211.5792553400137	11.007270100163094	0.2753548911144783	0.2519586511247427	0.22404235309499784	22.89797175138979	7.0
77.0	0.2	31.035841945906824	0.22235851673086562	-0.023826178371482182	213.04717252267974	31.32374990500623	212.58120201687728	10.851718397786188	0.2752712952322787	0.2502714342078077	0.22235851673086562	22.936585530417055	7.0
78.0	0.2	30.86467866363991	0.22136385446028278	-0.022817200282667066	213.45985293863188	30.669347501401298	212.64237706802226	10.867496632764789	0.27160989478128433	0.2493148768189093	0.22136385446028278	22.93734377417132	7.0
79.0	0.2	30.875351186253692	0.2201280296266882	-0.021816504066530185	214.461848545283	30.585361751853107	213.16648197707124	10.797588161150466	0.2692941760934684	0.24793468023220444	0.2201280296266882	22.833678965058187	7.0
80.0	0.2	30.91212366917255	0.21699048400255735	-0.020847104430664926	213.78488884547727	31.354482591222535	213.45653845369492	10.763681825686556	0.269253489995681	0.2459590227678646	0.21699048400255735	22.76203566365463	7.0
81.0	0.2	31.06013911276479	0.217826778431156	-0.019636833139291987	213.85165577561543	30.98906364583766	212.43480526525138	10.679485222866631	0.26794755717960245	0.24476652346954686	0.217826778431156	22.908354121217705	7.0
82.0	0.2	29.90495915226611	0.21560429704757278	-0.01877325171050731	214.19849773927032	30.186354614237402	213.40366647237613	10.72111411181485	0.26553040890984353	0.24322614857401387	0.21560429704757278	22.70615418630518	7.0
